symbol,name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %
INDHOTEL,Indian Hotels Co,727.45,53.28,103547.58,0.45,390.81,20.76,2339.19,14.61,17.06
MANKIND,Mankind Pharma,2507.20,51.44,103546.35,0.04,559.42,34.23,3442.93,11.81,13.53
VEDL,Vedanta,264.65,5.97,103488.42,16.44,9352.00,70.89,24609.00,47.48,16.08
BHARATFORG,Bharat Forge,2151.60,91.14,102865.55,0.40,233.45,2.05,4528.04,17.53,12.61
JSWENERGY,JSW Energy,551.65,50.42,101144.08,0.36,532.70,-36.62,5207.13,1.24,8.16
HEROMOTOCO,Hero Motocorp,5011.10,17.45,100268.57,3.69,1473.92,25.72,12978.28,30.18,35.22
LENSKART,Lenskart Solut.,555.90,192.14,96655.48,0.00,203.62,-8.50,2515.71,45.62,8.44
SHREECEM,Shree Cement,26740.00,57.35,96479.92,0.56,527.53,-8.47,6101.00,10.29,10.27
DRREDDY,Dr Reddy's Labs,1151.70,29.83,96129.61,0.69,435.60,-68.67,8099.80,-5.51,13.04
RECLTD,REC Ltd,361.60,5.93,95217.38,4.98,4192.76,-6.11,14434.92,-2.05,9.71
OFSS,Oracle Fin.Serv.,10652.00,27.18,92752.83,3.76,1415.50,120.52,3125.20,68.73,45.28
MAZDOCK,Mazagon Dock,2293.80,35.82,92527.30,0.75,674.16,108.79,3850.39,21.29,35.98
NYKAA,FSN E-Commerce,322.80,441.53,92446.30,0.00,78.75,286.49,2648.17,28.44,17.20
IDBI,IDBI Bank,84.93,9.80,91320.15,2.47,2130.57,5.35,7549.28,7.44,5.92
AUROPHARMA,Aurobindo Pharma,1532.00,25.08,88978.81,0.26,920.84,1.97,8853.34,5.62,12.80
ASHOKLEY,Ashok Leyland,151.07,24.44,88736.32,2.32,1381.32,9.51,17246.44,17.36,13.63
FEDERALBNK,Federal Bank,354.30,18.68,87481.09,0.34,1302.49,36.78,7861.58,9.94,6.39
LAURUSLABS,Laurus Labs,1601.20,79.12,86504.76,0.12,362.07,125.49,2026.31,29.10,17.76
MEESHO,Meesho,185.24,,85625.02,0.00,-132.84,38.48,3712.81,48.28,-35.59
DIXON,Dixon Technolog.,13846.00,58.85,84657.39,0.06,297.97,13.15,10510.51,2.12,41.97
ICICIGI,ICICI Lombard,1661.80,34.18,82983.45,0.81,403.17,-46.03,7088.22,10.83,21.88
PAYTM,One 97,1283.20,101.32,82212.63,0.00,220.00,57.59,2448.00,27.63,5.01
PERSISTENT,Persistent Systems,5200.50,42.55,82037.89,0.77,529.26,33.73,4055.94,25.10,34.36
NTPCGREEN,NTPC Green Ene.,96.32,133.72,81162.41,0.00,304.84,38.26,1106.86,62.72,3.53
HINDPETRO,H P C L,381.10,48.52,81091.32,6.36,-12264.67,-398.34,140584.25,26.85,22.23
BHARTIHEXA,Bharti Hexacom,1607.60,47.29,80380.00,1.12,446.70,-1.09,2413.70,5.45,21.37
NHPC,NHPC Ltd,79.39,21.18,79747.53,2.41,1549.42,71.05,2815.53,19.96,5.73
SRF,SRF,2664.70,35.25,78988.32,0.34,758.87,75.53,5033.26,31.81,14.61
ID,Manipal Health,,83.17,78880.90,,571.83,,4713.05,,17.09
WAAREEENER,Waaree Energies,2702.00,19.80,77723.39,0.07,1126.26,70.64,8480.25,111.80,38.78
INDUSINDBK,IndusInd Bank,996.05,58.69,77605.52,0.15,1037.05,71.68,11309.94,-7.78,5.68
HAVELLS,Havells India,1226.90,46.21,76995.54,0.82,289.71,-16.49,6518.19,19.48,24.90
LTF,L&T Finance Ltd,302.40,23.66,75771.16,0.91,915.99,28.72,5212.92,22.38,8.40
NAUKRI,Info Edg.(India),1165.50,53.09,75573.42,0.72,755.75,16.23,869.01,15.93,5.43
AUBANK,AU Small Finance,1004.00,28.49,75258.74,0.10,831.87,65.15,5019.15,17.53,7.66
JSWINFRA,JSW Infrast,322.70,48.50,75189.15,0.28,357.60,-9.89,1444.83,18.06,13.69
